"New Contractor Licenses - File created: Nov 28, 2018 - 1618 Records"
"License No","Business Name","Doing Business As","Address","Address 2","City","State","Zip","Qualifying Party","Class","Class Detail","Issued Date","Expiration Date","Status"
"321601","AJ Sunwest Construction LLC"," ","122 S Olsen Ave Ste 102"," ","Tucson","AZ","85719","Albert Orozco Durazo","KB-1","","2018-08-17","2020-08-31","Active"
"321602","Desert State Landscape Construction LLC"," ","PO Box 91161"," ","Tucson","AZ","85743","Christopher C Phillips","CR-21","","2018-08-22","2020-08-31","Active"
"321606","TSM Roofing LLC"," ","20630 N 262nd Ave"," ","Buckeye","AZ","85396","Sheldon Michael Murphy","CR-42","","2018-08-23","2020-08-31","Active"
"321608","APS FireCo Tulsa LLC"," ","2000 W Detroit St"," ","Broken Arrow","OK","74012","Ronald Kent Edwards","C-16","","2018-09-04","2020-09-30","Active"
"321614","Phx Specialty Construction Co LLC"," ","16764 W Washington St"," ","Goodyear","AZ","85338","Michael Ryan O'Bryan","CR-34","","2018-08-20","2020-08-31","Active"
"321615","Happy Valley Plumbing LLC"," ","3820 W Happy Valley Rd Ste 141-216"," ","Glendale","AZ","85310","Jason Lee Sutton","R-37R","","2018-09-06","2020-09-30","Active"
"321617","Arizona Automation Security LLC"," ","4013 W Yorkshire Dr"," ","Glendale","AZ","85308","Peter Gerard Dufresne","CR-14","","2018-08-20","2020-08-31","Active"
"321618","M AND D Stewart LLC"," ","1667 E Linda Ln"," ","Gilbert","AZ","85234-6141","Mark Roger Stewart","CR-9","","2018-09-05","2020-09-30","Active"
"321620","Summit Plumbing, LLC"," ","1032 N Forest"," ","Mesa","AZ","85203","Gary Vincent Shaker","CR-37","","2018-08-20","2020-08-31","Active"
"321623","Diesel Construction LLC"," ","8350 E Raintree Dr Ste 220"," ","Scottsdale","AZ","85260","Niels Charles Roberts","KB-1","","2018-08-23","2020-08-31","Active"
"321624","Diesel Construction LLC"," ","8350 E Raintree Dr Ste 220"," ","Scottsdale","AZ","85260","Niels Charles Roberts","A","","2018-08-28","2020-08-31","Active"
"321628","Power Bath Shower & Remodeling Inc"," ","3060 W Patrick Ln"," ","Glendale","AZ","85308","Cory Ross Reis","CR-37","","2018-08-28","2020-08-31","Active"
"321629","A F R Dynamics LLC"," ","502 E Ingram St"," ","Mesa","AZ","85203","Mohammad Naseem Afridi","CR-11","","2018-08-20","2020-08-31","Active"
"321630","Persis Properties LLC"," ","6726 S Lakeshore Dr"," ","Chandler","AZ","85226","Sean Michael Kast","KB-1","","2018-08-20","2020-08-31","Active"
"321631","Deserterra Contracting LLC","Deserterra Concrete , Deserterra Concrete","500 N Estrella Pkwy Ste B2-434"," ","Goodyear","AZ","85338","Alfonso Llanes","CR-9","","2018-09-06","2020-09-30","Active"
"321632","Aqua Therapy Tubs, LLC"," ","428 E Thunderbird Rd Ste 327"," ","Phoenix","AZ","85022","Derek Richard Rogers","B-3","","2018-09-07","2020-09-30","Active"
"321633","JV7 Plumbing LLC"," ","7502 N 47th Dr # A14"," ","Glendale","AZ","85301","Gabriella Y Zavala De Rojas","CR-37","","2018-09-06","2020-09-30","Active"
"321634","Advanced Quality Roofing LLC"," ","17939 W Las Palmaritas Dr"," ","Waddell","AZ","85355","Travis J Vichich","CR-42","","2018-08-20","2020-08-31","Active"
"321635","Tycam LLC"," ","24737 N 106th Dr"," ","Peoria","AZ","85383","Joseph Alan Davis","R-61","","2018-09-06","2020-09-30","Active"
"321640","Nehemiah Rebar Inc"," ","PO Box 2149"," ","Shingle Springs","CA","95682","Kevin William Rhodes","C-70","","2018-09-07","2020-09-30","Active"
"321643","Skunk Creek Construction Inc","ZJ Martin's , ZJ Martin's","8145 W Greenway Rd"," ","Peoria","AZ","85381","Victor Fabian Martin","KB-1","","2018-08-23","2020-08-31","Active"
"321644","Hope Refrigeration & Heating LLC"," ","7011 N 57th Ave Ste F"," ","Glendale","AZ","85301","Harminder Singh","CR-39","","2018-09-07","2020-09-30","Active"
"321647","C M  I Construction LLC"," ","6242 E Laurel Ln"," ","Scottsdale","AZ","85254","Carol Diane Shilliday","B","","2018-09-05","2020-09-30","Active"
"321648","Desert Rock Concrete and Masonry LLC"," ","909 W Harvard Ave"," ","Gilbert","AZ","85233","Lupe Amelia Pulotu","CR-9","","2018-08-28","2020-08-31","Active"
"321649","Garage Solutions of Arizona LLC","Monkey Bar Garage Storage , Monkey Bar Garage Storage","3060 W Brendon Way"," ","Queen Creek","AZ","85142","Bradford L Wilson","CR-34","","2018-08-20","2020-08-31","Active"
"321653","G and J Contracting LLC"," ","2711 E Blue Ridge Way"," ","Chandler","AZ","85249","Charles Anthony DeSanto","R-62","","2018-08-20","2020-08-31","Active"
"321654","PPG Contracting LLC"," ","15411 W Waddell Rd Ste 106"," ","Surprise","AZ","85379","Jason Carl Poyner","KB-2","","2018-09-06","2020-09-30","Active"
"321656","Decor54 LLC"," Phoenix Polyurea","3915 E Camelback Rd Apt 156"," ","Phoenix","AZ","85018","Jason Munsayac","B-3","","2018-08-21","2020-08-31","Active"
"321657","Monsters Framing LLC"," ","30633 W Lynwood St"," ","Buckeye","AZ","85396","Andrew Charles Leventhal","B","","2018-08-21","2020-08-31","Active"
"321659","Diamond AC and Heating LLC"," ","3144 w Covey Lane"," ","Phoenix","AZ","85027","Alfred Diamond","CR-39","","2018-09-26","2020-09-30","Active"
"321660","Diversified Construction LLC"," ","4747 E Elliot Rd Ste 29 510"," ","Phoenix","AZ","85044","Chris William Ladner","KB-2","","2018-09-07","2020-09-30","Active"
"321661","Sonoran Cactus Contracting LLC"," ","10551 E Simone Ave"," ","Mesa","AZ","85212","Gregory Martin DeRoche","C-61","","2018-08-20","2020-08-31","Active"
"321667","Rawson Enterprises Inc"," ","10233 Jefferson St"," ","Yucaipa","CA","92399","Paul Lenn Rawson","B-1","","2018-09-07","2020-09-30","Active"
"321669","Ar Industrial Services LLC"," ","PO Box 1276"," ","Hereford","AZ","85615","Robert Edward Powell","CR-56","","2018-09-07","2020-09-30","Active"
"321672","Russell Dean Furford"," Furford Painting","PO Box 2766"," ","Parker","AZ","85344","Russell Dean Furford","R-34","","2018-09-07","2020-09-30","Active"
"321673","S&S Sealants LLC"," ","9734 W Riverside Ave"," ","Tolleson","AZ","85353","Salim Del Rio Noriega","CR-34","","2018-09-07","2020-09-30","Active"
"321674","Rascal Renovations LLC"," ","641 W Calle Rita"," ","Tucson","AZ","85756","Carlos Miguel Mada Jr","B-3","","2018-09-07","2020-09-30","Active"
"321675","TNG Security Inc"," ","9560 Ridgehaven Ct Ste C"," ","San Diego","CA","92123","Kenneth Lee Robison","C-67","","2018-09-07","2020-09-30","Active"
"321680","Lee Brunson Concrete/Masonry Inc"," ","432 S Lion Springs Rd"," ","Payson","AZ","85541","Lee Charles Brunson","B","","2018-09-06","2020-09-30","Active"
"321684","Repipe Specialists of Nevada Inc","Repipe Specialists of Arizona , Repipe Specialists of Arizona","PO Box 910"," ","Burbank","CA","91502","Jeffrey Lee Butler","C-37","","2018-08-20","2020-08-31","Active"
"321689","Clear Horizon Plumbing LLC"," ","18007 W Turquoise Ave"," ","Waddell","AZ","85355","Alexander F Holland","CR-37","","2018-08-23","2020-08-31","Active"
"321694","Greathouse Wood Flooring LLC"," ","10803 N 37th Dr"," ","Phoenix","AZ","85029","Anthony Michael Greathouse","CR-8","","2018-08-31","2020-08-31","Active"
"321700","Animas Valley Excavation & Electric LLC"," ","137 Caliche Rd"," ","Animas","NM","88020","Colton Louis Rudiger","CR-2","","2018-09-04","2020-09-30","Active"
"321701","Walker Lesho III LLC","Fiesta Electric , Fiesta Electric","PO Box 65806"," ","Tucson","AZ","85728","Michael Emmett Walker","CR-11","","2018-08-28","2020-08-31","Active"
"321712","Deer Valley Flooring Inc"," ","83 E Springdale Dr"," ","Payson","AZ","85541","Darren Wayne Herning","CR-48","","2018-08-24","2020-08-31","Active"
"321717","1Handy4You Home Repair LLC"," ","2267 N Appaloosa Pl"," ","Huachuca City","AZ","85616","Brian Duane Smeal","B-3","","2018-08-31","2020-08-31","Active"
"321721","Beyond Painting LLC"," BP Remodeling, BP Remodeling","8170 E Broadway Blvd # K4"," ","Tucson","AZ","85710","John Robert Walker","R-11","","2018-08-24","2020-08-31","Active"
"321722","Western States Home Services LLC"," ","3065 N Norfolk"," ","Chandler","AZ","85225","Steven Thomas Foster","R-37R","","2018-09-06","2020-09-30","Active"
"321728","R&D Door and Window Services LLC"," ","6935 E Lakeview Ave"," ","Mesa","AZ","85209","Rudy L Farinas","CR-65","","2018-08-30","2020-08-31","Active"
"321733","Icon Pool Works LLC"," ","301 W Willow Ave"," ","Phoenix","AZ","85029","Tracy Lynn McMillan","R-9","","2018-08-28","2020-08-31","Active"
"321737","Cellis LLC"," ","8102 W Whitton Ave"," ","Phoenix","AZ","85037","Charles Ervin Ellis","KB-2","","2018-09-06","2020-09-30","Active"
"321748","Arizona Plumbing & Mechanical Specialists LLC"," ","236 W Mahoney Ave"," ","Eagar","AZ","85925","Kent Heber Anderson","CR-39","","2018-09-07","2020-09-30","Active"
"321751","Kelly Kitchen, Bath & More LLC"," ","13630 W Crocus Dr"," ","Surprise","AZ","85379","Ray Isaac Kelly","CR-61","","2018-09-06","2020-09-30","Active"
"321757","Exquisite Painting LLC"," ","15788 W Acapulco Ln"," ","Surprise","AZ","85379","Jesse Moreno Ramirez","CR-34","","2018-08-28","2020-08-31","Active"
"321766","CKP Management Inc"," ","1616 S Kentucky St Ste C325"," ","Amarillo","TX","79102","Byron Todd Barbour","B-1","","2018-09-07","2020-09-30","Active"
"321771","Euro Fine Finishes LLC"," ","7339 E Acoma Dr Ste 3"," ","Scottsdale","AZ","85260","Sandor Bako","CR-61","","2018-08-28","2020-08-31","Active"
"321790","Petar Inc"," ","824 E Michigan Ave"," ","Phoenix","AZ","85022","Hanh Duong Kotsankov","CR-61","","2018-09-07","2020-09-30","Active"
"321793","Heliosun LLC"," ","1300 S Litchfield Rd Bldg 230A"," ","Goodyear","AZ","85338","Randall Dale Gray","KB-1","","2018-08-31","2020-08-31","Active"
"321825","E & J Lath & Plaster LLC"," ","1161 N Nebraska St"," ","Chandler","AZ","85225","Heriberto Vargas Jr","CR-36","","2018-08-31","2020-08-31","Active"
"321828","Popular Plumbing LLC","Pointe Plumbing , Pointe Plumbing","1792 Commerce Dr"," ","Lakeside","AZ","85929","Steven Lane Hall","CR-37","","2018-09-07","2020-09-30","Active"
"321831","Affordable Plumbing Tucson LLC"," ","8749 N Star Grass Dr"," ","Tucson","AZ","85742","Angelo Vassallo","CR-37","","2018-09-04","2020-09-30","Active"
"321845","Westwinds Development LLC"," ","1839 E Queen Creek Rd Ste 4"," ","Chandler","AZ","85286","Terrence Eugene Lystra","B","","2018-09-07","2020-09-30","Active"
"321851","GoGreen Daylight Systems LLC"," ","4560 E Brae Voe Way"," ","San Tan Valley","AZ","85140","Joshua Anderson Chambers","CR-61","","2018-09-04","2020-09-30","Active"
"321871","Blue Diamond Build & Remodel, LLC"," ","554 S 37th St"," ","Mesa","AZ","85206","Richard Russell Carroll","KB-2","","2018-09-04","2020-09-30","Active"
"321873","The Water Heater Guy LLC"," ","688 W Golden St"," ","Gilbert","AZ","85233","Gordon W Hanger","R-37R","","2018-09-04","2020-09-30","Active"
"321884","National Multi Family Construction Services LP","Needham Roofing , Needham Roofing","5485 Belt Line Rd Ste 380"," ","Dallas","TX","75254","Steven Anthony Needham","CR-42","","2018-09-07","2020-09-30","Active"
"321887","H4U Construction LLC","A Handyman 4 U , A Handyman 4 U","7550 E Pleasant Run"," ","Scottsdale","AZ","85258","Christopher Stephen John","B-3","","2018-09-07","2020-09-30","Active"
"321895","Lance Taylor Littrell"," Lance Taylor Plumbing","688 W Drifting Shadow Ln"," ","Kingman","AZ","86409","Lance Taylor Littrell","CR-37","","2018-09-04","2020-09-30","Active"
"321903","Hughes Electric LLC"," ","4712 E Lone Cactus Dr"," ","Phoenix","AZ","85050","Christopher Jon Hughes","C-11","","2018-09-07","2020-09-30","Active"
"321904","Greg Roland Benetti","Benetti Builders , Benetti Builders","1912 Roland Ct"," ","Kingman","AZ","86409","Greg Roland Benetti","B-2","","2018-09-05","2020-09-30","Active"
"321915","Custom Tile Works LLC"," ","10170 E Placita De Dos Pesos"," ","Tucson","AZ","85730","Anthony John Pedigo","CR-48","","2018-09-07","2020-09-30","Active"
"321927","Azimuth Construction Services Inc."," ","16328 E Gamble Ln"," ","Scottsdale","AZ","85262","Frank A Scopetti Jr","B-1","","2018-09-07","2020-09-30","Active"
"321943","Elisa's Enterprises LLC","Canyon Flooring , Canyon Flooring","1497 N La Mer Cir"," ","Casa Grande","AZ","85122","James V Mejia","CR-48","","2018-09-07","2020-09-30","Active"
"321951","Pool Tile Dr LLC","Pool Deck Dr , Pool Deck Dr","PO Box 12946"," ","Chandler","AZ","85248","Marc H Garrard","CR-8","","2018-08-23","2020-08-31","Active"
"321960","Johnathan A Grantham"," J.A.G. Enterprises Seemless Rain Gutter","PO Box 1380"," ","Cottonwood","AZ","86326","Johnathan A Grantham","R-62","","2018-09-07","2020-09-30","Active"
"322050","Artistic Trim and Crown Molding LLC"," ","646 S Colonial Ct"," ","Gilbert","AZ","85296","Jeremy Michael Rottmann","CR-60","","2018-09-14","2020-09-30","Active"
"322051","Vintage Plumbing LLC"," ","11926 W Larkspur Rd"," ","El Mirage","AZ","85335","Joseph Francisco Lechuga","CR-37","","2018-09-14","2020-09-30","Active"
"322052","Green Leaf Landscape LLC"," ","12468 E Gold Dust Ave"," ","Phoenix","AZ","85029","Aaron Michael Schmidt","CR-21","","2018-09-14","2020-09-30","Active"
"322053","S & S Liftcare LLC"," ","1737 S 235th Dr"," ","Buckeye","AZ","85326","Samuel Portillo Garcia","B-2","","2018-09-14","2020-09-30","Active"
"322054","Jenarus Holdings LLC"," ","1846 E Innovation Park Dr"," ","Oro Valley","AZ","85755","Christopher Allen Jr","R-62","","2018-09-14","2020-09-30","Active"
"322055","PB&J Builders LLC"," ","517 W Summit St"," ","Payson","AZ","85541","Paul Francis Loges","B","","2018-09-14","2020-09-30","Active"
"322056","C & A Roofing LLC"," ","887 Brill Dr"," ","Bullhead City","AZ","86442","Carmelo Lucero Morales","KB-2","","2018-09-14","2020-09-30","Active"
"322057","My Way Maintenance Inc"," ","7307 W Sierra Vista Dr"," ","Glendale","AZ","85303","Jorge Armando Alderte","KB-2","","2018-09-14","2020-09-30","Active"
"322058","Mann Made Construction LLC"," ","925 N Stapley Dr Ste E"," ","Mesa","AZ","85203","Preston Krage Mann","KB-2","","2018-09-14","2020-09-30","Active"
"322059","Mann Made Restoration Services LLC","911 Restoration of Mesa ","925 N Stapley Dr Ste E"," ","Mesa","AZ","85203","Preston Krage Mann","KB-2","","2018-09-14","2020-09-30","Active"
"322060","Property Pro's Plus LLC"," ","10937 W Pecan Rd"," ","Tolleson","AZ","85353","Reynaldo Garza Hernandez","CR-80","","2018-09-14","2020-09-30","Active"
"322061","Abana Masonry LLC"," ","10215 S Epperson Ln"," ","Tucson","AZ","85756","Eduardo Valdez","CR-31","","2018-09-14","2020-09-30","Active"
"322062","Gapcon LLC"," ","2546 E Calle De Flores"," ","Gilbert","AZ","85298","Amy Jo Hancock","KB-2","","2018-09-14","2020-09-30","Active"
"322063","TGL Inc"," ","9560 E Rancho Vista Dr"," ","Prescott Valley","AZ","86314","Timothy Philip Lacey","R-62","","2018-09-14","2020-09-30","Active"
"322064","R&H Building LLC"," ","PO Box 27908"," ","Thatcher","AZ","85552","Ryan Paul Martin","KB-2","","2018-09-14","2020-09-30","Active"
"322065","G3 Cooling & Heating LLC"," ","7409 E Vancouver Dr"," ","Tucson","AZ","85730","Gregory Allen Etchart Jr","CR-39","","2018-09-14","2020-09-30","Active"
"322066","Old Glory Builders LLC"," ","2525 E Calle Bacardi"," ","Vail","AZ","85641","Oscar Jonathan Juarez","B","","2018-09-14","2020-09-30","Active"
"322067","Linda Diana Burz","Shade My Home ","2020 W Calle Del Sol"," ","Phoenix","AZ","85085","Linda Diana Burz","R-62","","2018-09-14","2020-09-30","Active"
"322068","GEM Finishing Touch LLC"," ","12417 W Dreyfus Dr"," ","El Mirage","AZ","85335","Garrett Ernest Martin","CR-8","","2018-09-14","2020-09-30","Active"
"322069","Eight Days A Week Custom Wood & Steel LLC"," ","5734 W Palo Verde Ave"," ","Glendale","AZ","85302","Eric Joel Cota","CR-24","","2018-09-14","2020-09-30","Active"
"322070","Valley Sun Industrial Services Inc"," ","PO Box 177"," ","Pine Village","IN","47975","Charles Jay Richmond","B-2","","2018-09-14","2020-09-30","Active"
"322071","All Industrial Connections LLC"," ","614 W Buist Ave"," ","Phoenix","AZ","85041","Ignacio Guadarrama Arizmendi","KB-1","","2018-09-14","2020-09-30","Active"
"322072","Aloha Air Conditioning and Plumbing LLC"," ","236 W Mahoney Ave"," ","Mesa","AZ","85210","Andrew Steven Brennan","CR-39","","2018-09-14","2020-09-30","Active"
"322073","Tahitian Pools Spas and Landscaping LLC"," ","42805 N 21st St"," ","New River","AZ","85087","Jonathan C Brown","B-4","","2018-09-14","2020-09-30","Active"
"322074","Bixler Enterprises LLC","Bullfrog Pool Tile Cleaning ","24654 N Lake Pleasant Pkwy #103-246"," ","Peoria","AZ","85383","Clay David Bixler","R-6","","2018-09-14","2020-09-30","Active"
"322075","SG Fabrication LLC"," ","5607 W Roma Ave"," ","Glendale","AZ","85301","Saul Galan","CR-24","","2018-09-14","2020-09-30","Active"
"322076","DPH Construction LLC"," ","22415 S 214th Way"," ","Queen Creek","AZ","85142","Dalton Paul Hughes","KB-2","","2018-09-14","2020-09-30","Active"
"322077","Newcastle Builders LLC"," ","4376 N Cypress Cir"," ","Prescott Valley","AZ","86314","Matthew Michael Craypser","R-62","","2018-09-14","2020-09-30","Active"
"322078","Prominence LLC"," ","12724 W Milton Dr"," ","Peoria","AZ","85383","Nicholas Robert Marshall","CR-67","","2018-09-14","2020-09-30","Active"
"322079","T & M Electrical, LLC"," ","1220 N Avenida Jeanine"," ","Tucson","AZ","85715","Robert Allen Suba Jr","CR-11","","2018-09-14","2020-09-30","Active"
"322080","Joseph Michael Torrente"," ","PO Box 2534"," ","Salinas","CA","93908","Joseph Michael Torrente","CR-8","","2018-09-17","2020-09-30","Active"
"322081","Steven Robert CoyKendall"," ","2530 W Noble Vista Dr"," ","Prescott","AZ","86305","Steven Robert Coykendall","R-60","","2018-09-17","2020-09-30","Active"
"322082","Steven Robert CoyKendall"," ","2530 W Noble Vista Dr"," ","Prescott","AZ","86305","Steven Robert Coykendall","R-62","","2018-09-17","2020-09-30","Active"
"322083","Assurance Electrical Services LLC"," ","3649 N Mountain View Dr"," ","Prescott Valley","AZ","86314","Jeffrey Scott Brandlin","CR-11","","2018-09-17","2020-09-30","Active"
"322084","Arizona Roofing Services Inc (FN)"," ","3205 Rising Sun Ridge"," ","Wickenburg","AZ","85390","Angel Marie Dudney","CR-42","","2018-09-17","2020-09-30","Active"
"322085","AV Connections LLC"," ","4336 W Maldonado Rd"," ","Laveen","AZ","85339","Andrew Allen Smith Thomas","CR-67","","2018-09-17","2020-09-30","Active"
"322086","Moser Interiors LLC"," ","830 N Road 1 E"," ","Chino Valley","AZ","86323","Brian Michael Moser","CR-60","","2018-09-17","2020-09-30","Active"
"322087","Blue Ribbon Landscape LLC"," ","3107 E Backus Rd"," ","Mesa","AZ","85213","Kellan R Ray","CR-21","","2018-09-17","2020-09-30","Active"
"322089","Gurr Brothers Construction LLC"," ","1721 E Huber St"," ","Mesa","AZ","85203","Bryce Wells Gurr","KB-1","","2018-09-17","2020-09-30","Active"
"322090","Arizona Professional Insulation LLC"," ","3120 W Alvarado Rd"," ","Phoenix","AZ","85009","Danny Cossio","KB-2","","2018-09-19","2020-09-30","Active"
"322091","Desert Shield Air Conditioning LLC"," ","14144 W Mandalay Ln"," ","Surprise","AZ","85379","Arthur Gonzales Jr","CR-39","","2018-09-19","2020-09-30","Active"
"322092","JM Landscaping Pros LLC"," ","821 S Solomon"," ","Mesa","AZ","85204","Jordy Morales Mimila","CR-21","","2018-09-19","2020-09-30","Active"
"322093","Davcon General Contractor, Inc (FN)"," ","31286 Santiago Rd"," ","Temecula","CA","92592","David Wayne Wakefield","B-1","","2018-09-19","2020-09-30","Active"
"322094","Agriscaping Technologies LLC"," ","PO Box 133"," ","Higley","AZ","85236","Justin Card Rohner","CR-21","","2018-09-19","2020-09-30","Active"
"322095","Arizona Pure Custom LLC"," ","5155 E Eagle Dr Unit 20561"," ","Mesa","AZ","85277","Edward Jaye Ulrich","KB-1","","2018-09-19","2020-09-30","Active"
"322096","Friend Contractors LLC"," ","601 N Bullmoose Dr"," ","Chandler","AZ","85224","Jeremy Devoe Williams","KB-2","","2018-09-19","2020-09-30","Active"
"322097","S & L Millenium Builders LLC"," ","27414 N 22nd Ln"," ","Phoenix","AZ","85085","Samuel Matache","KB-2","","2018-09-19","2020-09-30","Active"
"322098","T. G. A. Industries LLC","T.G.A. Painting , T.G.A. Painting","18850 N 41st Ave"," ","Glendale","AZ","85308","Thomas George Atchison Jr","R-62","","2018-09-19","2020-09-30","Active"
"322099","Tom Morton Remodeling LLC"," ","10431 W Ruth Ave"," ","Peoria","AZ","85345","Thomas Emery Morton","B-3","","2018-09-19","2020-09-30","Active"
"322100","M & T Asphalt LLC"," ","1155 S Power Rd Ste 114 Box 51"," ","Mesa","AZ","85205","Willard Michael Davis","CR-69","","2018-09-19","2020-09-30","Active"
"322101","Loma Cooling & Heating LLC"," ","8014 W Shangri La Rd"," ","Peoria","AZ","85345","Alonso Andujo","CR-39","","2018-09-19","2020-09-30","Active"
"322102","Verdad Group LLC"," ","5125 W Paseo Del Campo"," ","Tucson","AZ","85745","Wilbur James Taylor Jr","A-4","","2018-09-19","2020-09-30","Active"
"322103","Raiking Enterprises Inc","Creative Aluminum , Creative Aluminum","1475 W La Canada Pl"," ","Tucson","AZ","85704","Michael Roy Marshall","KB-1","","2018-09-20","2020-09-30","Active"
"322104","BASSPERFORMANCE LLC"," ","14127 W Calavar Rd"," ","Surprise","AZ","85379","John Adam Bass","CR-61","","2018-09-20","2020-09-30","Active"
"322105","Acoustic Designs Group Inc"," ","16074 N 78th St # C100"," ","Scottsdale","AZ","85260","Tyler Lee Duncan","CR-11","","2018-09-20","2020-09-30","Active"
"322106","A-1 Superior Roofing, LLC"," ","2295 Catamaran Dr"," ","Lake Havasu City","AZ","86404","Caleb John Matyja","CR-42","","2018-09-20","2020-09-30","Active"
"322107","Bohack Contracting LLC"," ","2506 S 66th Dr"," ","Phoenix","AZ","85043","Edgar O Vidal Luna","CR-57","","2018-09-20","2020-09-30","Active"
"322108","Mulcahy Nickolaus LLC"," ","2980 Granada Ln N"," ","Saint Paul","MN","55128","Brian Mulcahy","C-10","","2018-09-20","2020-09-30","Active"
"322109","Dynamic Landworks LLC"," ","8331 E Culver St"," ","Mesa","AZ","85207","Carlos Roberto Rodriguez","KA","","2018-09-20","2020-09-30","Active"
"322110","JWalker Maintenance and Repair LLC"," ","9812 N Geronimo Dr"," ","Casa Grande","AZ","85122","James Lee Schmitt","R-62","","2018-09-20","2020-09-30","Active"
"322111","Rymax Development LLC"," ","17505 E Barwick Dr"," ","Phoenix","AZ","85028","Richard Maxwell Lacey III","KB-1","","2018-09-20","2020-09-30","Active"
"322112","Hi Design Remodeling and Construction LLC"," ","Po Box 613"," ","Show Low","AZ","85902","Salvador Terrazas Ruiz","B","","2018-09-20","2020-09-30","Active"
"322113","America's Best Roofing Company, LLC"," ","343 E Streams Edge Pl"," ","Tucson","AZ","85737","Elizabeth Gonzalez","CR-42","","2018-09-20","2020-09-30","Active"
"322114","Dallman Drywall Inc"," ","622 South St"," ","Lincoln","NE","68502","Jeremy D Rasmussen","CR-10","","2018-09-20","2020-09-30","Active"
"322115","Aloha Air Conditioning and Plumbing LLC"," ","236 W Mahoney Ave"," ","Mesa","AZ","85210","Andrew Steven Brennan","CR-37","","2018-09-20","2020-09-30","Active"
"322116","Asset Roofing and Construction LLC"," ","6570 Naaman Forest Blvd Ste 100"," ","Garland","TX","75044","Christopher Mark Cordier","CR-42","","2018-09-20","2020-09-30","Active"
"322117","Arizona Art Scape LLC"," ","37511 N 20th St"," ","Phoenix","AZ","85086","Jimmy Wicker Jr","KB-2","","2018-09-20","2020-09-30","Active"
"322118","C Services LLC"," ","3628 Cattlebaron Dr"," ","Roanoke","TX","76262","Louis Charles Christopher III","KB-1","","2018-09-20","2020-09-30","Active"
"322119","DAMG Enterprises LLC"," VIP Smart Storage","700 N Neely St Ste 20"," ","Gilbert","AZ","85233","Dale A Gerstenberger","CR-60","","2018-09-20","2020-09-30","Active"
"322120","Candi Perfect LLC","Home Staging Assist , Home Staging Assist","1749 S Voyager Dr"," ","Gilbert","AZ","85295","Timothy Ruel Smith","R-62","","2018-09-20","2020-09-30","Active"
"322121","Vericon Construction Company LLC"," ","1063 Route 22 East"," ","Mountainside","NJ","07092","Tricia A Vohden","B-1","","2018-09-20","2020-09-30","Active"
"322122","Sunshine Industries Inc"," ","6781 N Thornydale Rd Ste 219"," ","Tucson","AZ","85741","Shane Albert Lalama","KB-2","","2018-09-20","2020-09-30","Active"
"322123","Riley Brown Remodeling LLC"," ","1138 E Haven Ln"," ","Tucson","AZ","85719","Craig Riley Brown","CR-61","","2018-09-21","2020-09-30","Active"
"322124","Vezsino Landscaping LLC"," ","3908 W Palm Ln"," ","Phoenix","AZ","85009","Jaime Joarick Velez","CR-21","","2018-09-21","2020-09-30","Active"
"322127","JK Construction and Development Inc"," ","PO Box 2006"," ","Carefree","AZ","85377","Justin M. Kilbane","B","","2018-09-21","2020-09-30","Active"
"322128","Corporal Heating & Cooling LLC","Desert Devil Heating And Cooling , Desert Devil Heating And Cooling","29087 N Shannon Dr"," ","San Tan Valley","AZ","85143","Jason Matthew Lynch","C-39","","2018-09-21","2020-09-30","Active"
"322129","Firehouse Solutions LLC"," ","137 E Elliot Rd Unit 3535"," ","Gilbert","AZ","85299","Chad David Farr","CR-16","","2018-09-21","2020-09-30","Active"
"322130","Mesa Energy Systems Inc"," Emcor Services Arizona, Emcor Services Arizona","2 Cromwell"," ","Irvine","CA","92618","Kevin Paul Roell","C-77","","2018-09-21","2020-09-30","Active"
"322131","Second Opal Inc","Weststar Windows and Doors , Weststar Windows and Doors","11985 W Nadine Way"," ","Peoria","AZ","85383","Jose Antonio Vidal","CR-60","","2018-09-24","2020-09-30","Active"
"322132","Lines of Arizona LLC","We Do Lines Arizona , We Do Lines Arizona","326 S Siesta Ln Ste 1"," ","Tempe","AZ","85281","Thomas Ray Cox","A-14","","2018-09-24","2020-09-30","Active"
"322133","4 Powers Contracting LLC","ACC , ACC","10565 S Las Colinas"," ","Yuma","AZ","85367","Wesley Jason Splawn","KB-1","","2018-09-24","2020-09-30","Active"
"322134","Ace Plumbing LLC"," ","1111 Zircon Ave"," ","Bullhead City","AZ","86442","Paull Wayne Proctor","R-37R","","2018-09-24","2020-09-30","Active"
"322135","AZ Water Systems LLC"," ","2048 S Agnes Ln"," ","Gilbert","AZ","85295","Larry Wade Melton Jr","R-62","","2018-09-24","2020-09-30","Active"
"322136","Cold Spray Inc"," ","3221 E Campbell Rd"," ","Gilbert","AZ","85234","Kent Fredrick Leach","A-9","","2018-09-24","2020-09-30","Active"
"322137","Cold Spray Inc"," ","3221 E Campbell Rd"," ","Gilbert","AZ","85234","Kent Fredrick Leach","CR-9","","2018-09-24","2020-09-30","Active"
"322138","Sonoran Desert Roofing LLC"," ","6914 S Copper Bloom Ave"," ","Tucson","AZ","85756","Jesus Alberto Bojorquez","CR-42","","2018-09-25","2020-09-30","Active"
